time,open,high,low,close,volume
2023-04-20,48.94,48.94,48.58,48.7,365619
2023-04-21,49.07,49.07,48.64,48.64,324840
2023-04-24,48.76,49.44,48.45,48.52,795812
2023-04-25,48.52,48.64,48.02,48.09,541028
2023-04-26,47.9,48.09,47.6,48.02,772857
2023-04-27,47.9,48.33,47.9,48.02,221966
2023-04-28,48.33,48.33,47.53,47.53,946202
2023-05-04,47.72,48.27,47.6,48.15,498526
2023-05-05,48.21,48.21,47.96,48.09,320239
2023-05-08,48.15,48.39,48.09,48.15,364297
2023-05-09,48.21,48.94,48.21,48.39,607003
2023-05-10,48.45,48.82,48.45,48.45,633179
2023-05-11,48.52,48.82,48.45,48.52,477378
2023-05-12,48.64,49.44,48.33,49.37,1085041
2023-05-15,49.93,50.17,49.56,49.68,936340
2023-05-16,49.68,50.11,49.56,49.99,768209
2023-05-17,50.23,50.72,49.74,49.99,977785
2023-05-18,50.17,50.91,49.93,50.85,1552354
2023-05-19,50.91,51.09,50.17,50.78,1075113
2023-05-22,50.78,50.78,50.29,50.6,562355
2023-05-23,50.6,50.6,49.93,50.29,657960
2023-05-24,50.29,50.36,49.74,49.86,465813
2023-05-25,49.8,51.15,49.68,51.03,1343692
2023-05-26,50.97,51.15,50.48,50.97,865789
2023-05-29,51.21,51.34,50.85,50.97,881263
2023-05-30,50.91,52.07,50.85,51.52,1662064
2023-05-31,51.64,51.64,50.97,51.58,840575
2023-06-01,51.52,51.52,50.97,51.21,538944
2023-06-02,51.21,51.7,50.97,51.4,738485
2023-06-05,51.46,52.26,51.4,52.13,1428499
2023-06-06,52.32,52.32,51.95,52.32,516234
2023-06-07,52.13,52.38,51.7,52.13,707049
2023-06-08,51.95,52.07,51.21,51.28,1246481
2023-06-09,51.7,51.95,51.34,51.89,681805
2023-06-12,51.83,52.07,51.28,52.07,521246
2023-06-13,51.77,52.07,51.7,51.77,468477
2023-06-14,51.7,52.01,51.58,51.64,659704
2023-06-15,51.64,51.77,51.28,51.58,800193
2023-06-16,51.58,52.87,51.15,51.83,2234265
2023-06-19,51.95,52.44,51.83,51.95,664779
2023-06-20,52.13,52.62,51.95,52.44,946100
