time,open,high,low,close,volume,MA_10,MA_20,RSI_14,MACD,MACD_signal,BB_high,BB_low,ATR_14,log_return,return_lag_1,RSI_lag_1,MACD_lag_1,return_lag_2,RSI_lag_2,MACD_lag_2,return_lag_3,RSI_lag_3,MACD_lag_3,target
2022-12-29,46.92,47.23,46.74,46.74,656647,47.184000000000005,47.2485,52.65348713293197,0.5418624591810968,0.7355214319690568,48.054633363656315,46.442366636343685,1.2235753745414553,-0.0063979744796595775,0.0025542798050967007,55.47810652624454,0.6153023630029679,0.0012795907056252546,54.572952225412934,0.6695430786010235,-0.020697676562726825,54.140072064842926,0.7412533290028875,1
2022-12-30,46.74,47.17,46.61,47.17,629719,47.123000000000005,47.2335,56.1033480602809,0.5124509965379715,0.6909073448828398,48.03373184140588,46.43326815859412,1.17617713350278,0.00915776818545835,-0.0063979744796595775,52.65348713293197,0.5418624591810968,0.0025542798050967007,55.47810652624454,0.6153023630029679,0.0012795907056252546,54.572952225412934,0.6695430786010235,1
2023-01-03,47.17,49.07,47.1,49.07,1538861,47.332,47.285999999999994,67.40485460966327,0.635134881970977,0.6797528523004672,48.37235905666581,46.19964094333418,1.2328787668240098,0.0394897528056417,0.00915776818545835,56.1033480602809,0.5124509965379715,-0.0063979744796595775,52.65348713293197,0.5418624591810968,0.0025542798050967007,55.47810652624454,0.6153023630029679,0
2023-01-04,49.56,49.68,48.64,49.07,796544,47.541000000000004,47.409,67.40485460966327,0.7240167308775085,0.6886056280158755,48.699269739240535,46.11873026075946,1.2191017120508663,0.0,0.0394897528056417,67.40485460966327,0.635134881970977,0.00915776818545835,56.1033480602809,0.5124509965379715,-0.0063979744796595775,52.65348713293197,0.5418624591810968,1
2023-01-05,49.19,49.99,49.19,49.44,1014719,47.75,47.535000000000004,69.19599496688534,0.8149182736860183,0.7138681571499041,49.07722566442134,45.992774335578666,1.1977373040472332,0.00751196304762325,0.0,67.40485460966327,0.7240167308775085,0.0394897528056417,67.40485460966327,0.635134881970977,0.00915776818545835,56.1033480602809,0.5124509965379715,0
2023-01-06,49.31,49.74,49.19,49.25,721096,47.94,47.636,67.15522950918336,0.861693918066635,0.7434333093332504,49.34107947028866,45.930920529711344,1.1514703537581457,-0.003850445531337377,0.00751196304762325,69.19599496688534,0.8149182736860183,0.0,67.40485460966327,0.7240167308775085,0.0394897528056417,67.40485460966327,0.635134881970977,0
2023-01-09,49.37,49.62,49.01,49.25,520315,48.081,47.706500000000005,67.15522950918336,0.888521628985167,0.7724509732636338,49.55043356713301,45.862566432867,1.112793899918278,0.0,-0.003850445531337377,67.15522950918336,0.861693918066635,0.00751196304762325,69.19599496688534,0.8149182736860183,0.0,67.40485460966327,0.7240167308775085,1
2023-01-10,49.5,49.86,49.19,49.31,754254,48.326,47.810500000000005,67.50620723758763,0.9042012129927315,0.7988010212094534,49.76642919094733,45.85457080905268,1.0811657642098298,0.0012175326179368051,0.0,67.15522950918336,0.888521628985167,-0.003850445531337377,67.15522950918336,0.861693918066635,0.00751196304762325,69.19599496688534,0.8149182736860183,1
2023-01-11,49.31,50.05,49.31,49.62,1078639,48.596000000000004,47.924,69.32978891173316,0.930910844759417,0.8252229859194462,50.01841543157032,45.82958456842968,1.0567967810519845,0.006267078027620184,0.0012175326179368051,67.50620723758763,0.9042012129927315,0.0,67.15522950918336,0.888521628985167,-0.003850445531337377,67.15522950918336,0.861693918066635,0
2023-01-12,49.68,49.99,49.19,49.5,544065,48.842,48.059000000000005,67.74487565358501,0.931655874265978,0.8465095635887526,50.193890161108975,45.924109838891034,1.038454153833986,-0.0024213086890102274,0.006267078027620184,69.32978891173316,0.930910844759417,0.0012175326179368051,67.50620723758763,0.9042012129927315,0.0,67.15522950918336,0.888521628985167,0
2023-01-13,49.37,49.8,49.07,49.07,629501,49.075,48.12949999999999,62.25303366325111,0.8873204315800507,0.8546717371870123,50.299859186862825,45.95914081313716,1.0164217142744154,-0.008724819472832534,-0.0024213086890102274,67.74487565358501,0.931655874265978,0.006267078027620184,69.32978891173316,0.930910844759417,0.0012175326179368051,67.50620723758763,0.9042012129927315,1
2023-01-16,49.13,49.68,48.88,49.56,576876,49.314,48.2185,65.66847611588298,0.8815610912240643,0.8600496079944228,50.46874687534499,45.96825312465501,1.0009630203976712,0.009936206659129759,-0.008724819472832534,62.25303366325111,0.8873204315800507,-0.0024213086890102274,67.74487565358501,0.931655874265978,0.006267078027620184,69.32978891173316,0.930910844759417,1
2023-01-17,49.8,50.29,49.68,50.29,980634,49.436,48.384,70.02058310639124,0.9252361255181114,0.8730869114991605,50.730379338470215,46.037620661529786,0.9816085189406945,0.014622193422931572,0.009936206659129759,65.66847611588298,0.8815610912240643,-0.008724819472832534,62.25303366325111,0.8873204315800507,-0.0024213086890102274,67.74487565358501,0.931655874265978,1
2023-01-18,50.36,51.15,50.17,51.15,956810,49.644,48.592499999999994,74.17415141599412,1.0175144444035453,0.9019724180800376,51.135630944328256,46.04936905567173,0.9814936247306446,0.01695624221376218,0.014622193422931572,70.02058310639124,0.9252361255181114,0.009936206659129759,65.66847611588298,0.8815610912240643,-0.008724819472832534,62.25303366325111,0.8873204315800507,1
2023-01-19,50.91,51.64,50.85,51.46,1329468,49.846,48.798,75.49225475161535,1.1029460111154634,0.9421671366871227,51.5610316682948,46.0349683317052,0.9678155086784557,0.006042314455962662,0.01695624221376218,74.17415141599412,1.0175144444035453,0.014622193422931572,70.02058310639124,0.9252361255181114,0.009936206659129759,65.66847611588298,0.8815610912240643,1
2023-01-27,51.58,52.44,51.52,51.52,1145253,50.073,49.0065,75.75022922598681,1.16209671425311,0.9861530522003202,51.925912783420664,46.08708721657934,0.9686858294871372,0.0011652749425002074,0.006042314455962662,75.49225475161535,1.1029460111154634,0.01695624221376218,74.17415141599412,1.0175144444035453,0.014622193422931572,70.02058310639124,0.9252361255181114,0
2023-01-30,51.64,51.77,51.34,51.34,893299,50.282,49.1815,73.25885235713106,1.1808376159791507,1.0250899649560865,52.217512351753534,46.145487648246466,0.930208270238056,-0.0034999063531037686,0.0011652749425002074,75.75022922598681,1.16209671425311,0.006042314455962662,75.49225475161535,1.1029460111154634,0.01695624221376218,74.17415141599412,1.0175144444035453,0
2023-01-31,51.21,51.34,50.11,51.21,1531495,50.472,49.399,71.43158829010716,1.1716934493430955,1.0544106618334883,52.36096488838069,46.43703511161931,0.9516219652210524,-0.0025353499685354733,-0.0034999063531037686,73.25885235713106,1.1808376159791507,0.0011652749425002074,75.75022922598681,1.16209671425311,0.006042314455962662,75.49225475161535,1.1029460111154634,0
2023-02-01,51.52,51.52,50.17,50.29,1051061,50.539,49.5675,60.02176046862306,1.077786270932016,1.059085783653194,52.322378400220245,46.81262159977976,0.9800775391338344,-0.0181285752905856,-0.0025353499685354733,71.43158829010716,1.1716934493430955,-0.0034999063531037686,73.25885235713106,1.1808376159791507,0.0011652749425002074,75.75022922598681,1.16209671425311,0
2023-02-02,50.36,50.54,49.86,50.23,1327690,50.612,49.727,59.35587338609564,0.9871434813400768,1.0446973231905705,52.236526648593326,47.21747335140667,0.9586434291957033,-0.0011937924219200945,-0.0181285752905856,60.02176046862306,1.077786270932016,-0.0025353499685354733,71.43158829010716,1.1716934493430955,-0.0034999063531037686,73.25885235713106,1.1808376159791507,0
2023-02-03,50.29,50.29,49.13,49.13,1730152,50.618,49.8465,48.69077903079438,0.8171282646359614,0.9991835114796488,51.974280768782364,47.718719231217634,0.97302604139601,-0.022142611581396365,-0.0011937924219200945,59.35587338609564,0.9871434813400768,-0.0181285752905856,60.02176046862306,1.077786270932016,-0.0025353499685354733,71.43158829010716,1.1716934493430955,1
